# ambient bot roster
target=0
nextProfileId=16613
nextNameSeed=62906
profile=1|boycodon|1|2|23|0|2|1|1|21|7|60|135|18|50|6|1|1|2|-1|8774|-1|3|70|0|1|440|408|1776157253688|1776154477532|779|123|0|48|5|2|10
profile=2|thanhdat9x|2|1|38|0|0|3|1|21|7|70|150|15|45|9|0|0|1|-1|8785|-1|3|0|0|1|504|600|1776155884521|1776154421308|859|0|0|66|5|2|0
profile=3|langtubuon|1|0|26|0|3|2|0|20|5|50|120|20|55|6|0|0|1|-1|8788|-1|3|70|0|0|312|680|1776156312114|1776154421308|555|5|0|9|5|1|5
profile=4|girlcodon|2|2|59|0|0|2|0|17|8|50|120|20|55|11|0|1|1|-1|8995|-1|3|1901|0|0|232|392|1776857941674|1776856708003|737|0|0|0|7|4|0
profile=5|minhquan9x|2|2|13|0|1|1|0|8|6|60|135|18|50|5|0|0|1|-1|-1|-1|3|70|0|0|312|408|1776155685605|1776154490978|381|0|0|21|8|1|0
profile=6|kiemkhach|1|0|60|0|0|2|1|19|8|50|120|20|55|6|0|0|1|19|8995|-1|3|1701|0|1|520|504|1776156971957|1776860659915|662|0|0|0|7|4|0
profile=7|langtucodon|2|2|56|1|2|4|1|16|6|45|110|12|40|9|0|1|2|-1|8990|-1|3|80|0|1|296|456|1776858459806|1776860654666|471|3|0|44|6|1|3
profile=8|quocviet9x|2|1|27|0|1|1|0|18|6|60|135|18|50|1|0|0|1|-1|8774|-1|3|70|0|0|232|648|1776860918303|1776859822647|559|35|0|39|8|2|0
profile=9|thieugia|2|0|56|0|2|1|1|19|7|60|135|18|50|9|0|1|2|-1|8911|-1|3|1901|0|1|312|456|1776155628127|1776860659915|692|0|0|52|7|2|0
profile=10|nhoccodon|1|2|23|1|3|4|1|16|7|45|110|12|40|4|0|1|1|-1|8788|-1|3|70|0|1|520|664|1776859886743|1776860664056|626|260|0|18|5|2|24
profile=11|anhkhoa9x|1|1|21|0|0|2|1|20|6|50|120|20|55|6|0|0|1|-1|8788|-1|3|8|0|1|840|344|1776156907013|1776154634424|838|57|0|9|5|2|57
profile=12|phieudu9x|2|4|23|0|0|1|1|19|10|60|135|18|50|5|0|0|1|-1|8774|-1|3|1901|0|1|248|440|1776156278572|1776860660965|787|5|0|79|6|1|10
profile=13|satthucodon|2|4|26|0|2|0|0|9|12|80|180|18|60|5|1|0|1|-1|8773|-1|3|80|0|0|232|296|1776861421728|1776858426297|965|81|0|11|6|2|13
profile=14|hoangphi9x|1|0|11|0|2|0|1|8|12|80|180|18|60|0|0|0|1|-1|-1|-1|3|70|0|1|360|120|1775727110158|1776860639457|1440|149|0|7|6|2|9
profile=15|codonvip|1|3|27|0|0|3|0|21|9|70|150|15|45|10|0|1|2|-1|8788|-1|3|0|0|0|88|216|1776155940510|1776154421308|921|269|0|59|7|2|65
profile=16|rongdencodon|2|0|32|0|0|1|0|9|8|60|135|18|50|3|1|0|1|-1|8774|-1|3|70|0|0|232|584|1775723622401|1776154790628|875|0|0|60|10|2|0
